nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
FRANCK ROPERS,5SIRC0VGUQ8,Pourquoi est-il dangereux de respirer par la bouche,2020-11-12,498,619.0,0,0,0,0.0,9819,641,60
FRANCK ROPERS,H0c0pckhYIY,Peut-on devenir riche en partant de rien ?,2021-01-10,439,1585.0,0,0,0,0.0,8010,411,215
YoMax,IIRfJPM-gPw,LE DÉBRIEF COUPE DU MONDE ! SPÉCIAL 1/2,2018-07-08,1356,2409.0,1.0,1,1.0,1.49,16143,660,9
YoMax,EVEbqvBuV5M,LE DÉBRIEF COUPE DU MONDE ! #2,2018-06-17,1377,2076.0,10.99,1,10.99,19.06,28026,1180,23
YoMax,zvkNEiMEp4I,LE DÉBRIEF COUPE DU MONDE ! #3,2018-06-20,1374,1596.0,0,0,0,0.0,20160,863,14
YoMax,OgA9cfstFys,FUT 19 - 2 TOTY EN 5 MINUTES OMG ! 😱 (FEAT. GAMEMIXTREIZE),2019-01-12,1168,9689.0,223.79,64,3.5,83.15,267036,10593,136
YoMax,ws1X7y8hddc,FUT 19 - CE SOIR NOTRE 1ER TOTY !!!,2019-01-09,1171,10754.0,198.35,78,2.54,66.4,215503,9228,64
YoMax,b2iNZ5ReBIY,LE DÉBRIEF COUPE DU MONDE ! SPÉCIAL FINALE,2018-07-14,1350,2465.0,0,0,0,0.0,13810,541,3
ADAM LE RIGOLOW,ECMNAUYQso8,MR CHUCKLE TEETH me renvoi DES MESSAGES EN LIVE ! (MESSENGER),2019-07-23,976,3798.0,275.17,31,8.88,260.82,525681,20174,4290
ADAM LE RIGOLOW,aUFd_L4EAR8,comment INVOQUER SLENDERMAN ?!,2020-07-01,632,2605.0,44.21,21,2.11,61.1,223721,26402,1549
ADAM LE RIGOLOW,Pli8zdKMVak,Ne SCANNE JAMAIS ce QRCODE en LIVE !! (Ash Vlogs),2020-03-10,745,3593.0,71.49,28,2.55,71.63,271702,18773,2009
ADAM LE RIGOLOW,WwLluqdXt80,JE VAIS DANS LA PIÈCE BIZARRE DE MA MAISON EN LIVE !,2020-05-26,668,3766.0,51.58,20,2.58,49.31,249486,27354,2679
ADAM LE RIGOLOW,Vpw3yQ6QJkk,JE TESTE LE SITE EVIEBOT + ANNIVERSAIRE EN LIVE !,2020-04-27,697,6610.0,208.18,54,3.86,113.38,601733,38870,6057
ADAM LE RIGOLOW,gNopwPsA0ZM,🔴 AIDEZ-MOI !! #Satunday,2020-11-10,500,4994.0,79.77,11,7.25,57.5,138593,10402,578
ADAM LE RIGOLOW,ULVm8P8-2Yo,COUNTDOWN MON COMPTEUR EST A 0 ?!!,2019-11-25,851,2894.0,64.43,10,6.44,80.15,371150,21829,4309
ADAM LE RIGOLOW,Iapqi8Tw8sg,URBEX DANS UN BÂTIMENT BIZARRE !,2020-06-19,644,2956.0,25.56,15,1.7,31.13,255871,32288,2199
ADAM LE RIGOLOW,pU1-8-CvVqc,hacker,2020-08-25,577,974.0,0,0,0,0.0,204420,14297,1943
ADAM LE RIGOLOW,6wT_qVM4E8w,ON CONTACTE des ESPRITS ! (LIVE),2021-10-30,146,7954.0,28.67,11,2.61,12.98,86642,5094,131
ADAM LE RIGOLOW,rl8r83FfBHI,Je test COUNTDOWN l'application EN LIVE !,2019-11-18,858,4182.0,52.96,19,2.79,45.59,197215,17911,1943
ADAM LE RIGOLOW,tWJ_Uzuc9Uo,AYUWOKI CE LIVE EST FLIPPANT (HORROR SHOW 002),2019-10-12,895,4669.0,33.28,13,2.56,25.66,113107,7810,480
ADAM LE RIGOLOW,KZjVR5dGUm4,Je fais un rituel avec Noa en live !,2020-05-28,666,7865.0,62.73,23,2.73,28.71,285214,18687,887
ADAM LE RIGOLOW,7Pwu_kuVWqk,N'ALLEZ JAMAIS SUR LE SITE TAKE THIS LOLLIPOP ! #Satunday,2020-11-14,496,3191.0,38.02,15,2.53,42.89,162926,14587,1571
ADAM LE RIGOLOW,wuTuv1CYrGc,APPEL et RACONTE TON EXPÉRIENCE PARANORMAL en LIVE ! (HORROR HALLOWEEN SHOW 001),2019-10-05,902,5926.0,152.24,19,8.01,92.48,105138,8318,514
ADAM LE RIGOLOW,r21jCrIvRBo,J'explique tout sur le psychopathe de l'hôtel !,2019-11-22,854,1471.0,4.0,2,2.0,9.79,233452,14445,899
ADAM LE RIGOLOW,O59ko0Thva4,S'IL VOUS PLAÎT ne REGARDEZ SURTOUT PAS ce FILM ! (Ambiancé),2020-08-14,588,2927.0,24.79,13,1.91,30.49,289448,25931,2511
ADAM LE RIGOLOW,L3n4do9NEtc,NoFaceMan M'APPEL sur FACEBOOK EN LIVE !!,2020-03-03,752,1065.0,65.58,14,4.68,221.68,109481,7137,462
ADAM LE RIGOLOW,-EvIGYWYiLk,🔴 JE CONTACT le SMILING MAN en LIVE ! #Satunday,2020-10-10,531,5373.0,84.41,21,4.02,56.56,260669,17112,1361
Le Monde,er5hzkHqJ7A,🔴 Revoir le décollage du télescope spatial James Webb,2021-12-25,90,15645.0,0,0,0,0.0,268559,1803,152
Le Monde,-5gz3M-2U_I,🔴 Revoir le décollage de Thomas Pesquet vers l’ISS à bord d’une capsule SpaceX,2021-04-23,336,18134.0,0,0,0,0.0,763847,8314,632
Agentgb,hoGznKzQ2OI,KESKISPAS le 16 Septembre ? - Episode 1,2021-09-16,190,3271.0,0,0,0,0.0,7191,790,66
Le Royaliste,wQTJ-XS4c24,"ESCAPE GAME EN LIVE AVEC JBL QUANTUM, VENEZ M'AIDER 😱🔒!!!!",2020-12-22,458,4442.0,0,0,0,0.0,15953,1187,11
Le Royaliste,TjZqyVK2zAI,"[SERVEUR PRIVÉ/PP] CACHE CACHE, JAQUES A DIT, TRAP BASE SUR FORTNITE EN DIRECT !!",2020-03-04,751,22.0,0,0,0,0.0,15690,1100,32
Le Royaliste,YjQFOzd029Y,GRANDE FINALE DE LA GAMERS ASSEMBLY SUR FORTNITE [LIVE] #ShadowTrophy,2018-04-02,1453,9588.0,78.24,16,4.89,29.38,239419,7509,155
Le Royaliste,4tZn0ncRr0c,JE DÉCOUVRE FORTNITE SUR MOBILE EN DIRECT AVEC VOUS !!!!,2018-03-15,1471,1951.0,74.39,23,3.23,137.26,140116,5347,325
Bilal Hassani,lLVkIQP5rYQ,CONTRE SOIREE - LIVE DE LANCEMENT (Release Party),2020-11-05,505,5402.0,0,0,0,0.0,127133,7312,274
Maouno,NZHJn5vuFjw,J'APPELLE LE JOKER EN DIRECT ! (JOKER CHALLENGE),2020-01-08,807,9824.0,9.0,5,1.8,3.3,398617,16511,4242
Maouno,Vmf_EKOc1PA,Je me fais menacer...,2018-10-19,1253,4649.0,0,0,0,0.0,18513,1399,294
Maouno,p7TzmEH09Ko,LE CLOWN TUEUR ME DONNE RENDEZ-VOUS !,2018-11-07,1234,8636.0,0.98,1,0.98,0.41,61935,2943,951
Maouno,1QTNdf03yTI,AYUWOKI EST VRAIMENT CHEZ MOI !,2019-04-28,1062,9643.0,130.18,17,7.66,48.6,288848,17411,4377
Maouno,FFHz4DgJdBA,REGARDER BIM BAM BOOM DE JUJUFITCATS PENDANT 10 HEURES,2019-12-18,828,13483.0,4.93,4,1.23,1.32,147977,8826,848
Maouno,i0D_yAji5Ks,"LE CLOWN TUEUR EST CHEZ MOI, IL HANTE MA MAISON !",2019-10-28,879,1798.0,0,0,0,0.0,162633,4280,633
Maouno,mzvmalYi7ds,LE PÈRE NOËL TUEUR EST VRAIMENT CHEZ MOI !,2018-12-07,1204,12565.0,17.55,11,1.6,5.03,170201,8360,2859
Maouno,teUjMSGNFuk,"LE CLOWN TUEUR EST CHEZ MOI, IL A COUPÉ L'ELECTRICITÉ !",2018-10-24,1248,6524.0,106.18,22,4.83,58.59,142008,5463,1418
Maouno,wbIBUHfDxxw,"LE PÈRE NOËL TUEUR EST CHEZ MOI, JE LE BRÛLE !",2018-12-11,1200,17013.0,21.28,13,1.64,4.5,88515,3953,760
Maouno,XeVyyoZYBwM,LA PURGE CONTINUE !,2018-11-04,1237,9947.0,16.47,3,5.49,5.96,95292,4012,1150
Maouno,YxNKmdWp4Wc,J'APPELLE LE 3630 EN DIRECT ! (PÈRE NOEL TUEUR),2019-12-23,823,5724.0,0,0,0,0.0,547043,26294,11047
Maouno,nlvoh6Hezu8,DÉGUSTATION D’EAU !,2018-09-25,1277,5144.0,4.58,2,2.29,3.21,9645,613,52
Maouno,Nf1bocESWas,"OMG LA PURGE COMMENCE, ON TOC A MA PORTE !",2018-11-01,1240,5756.0,18.34,8,2.29,11.47,250420,10581,3021
Maouno,rQrJmbKQhi8,J'APPELLE MR CHUCKLE TEETH EN DIRECT !,2019-06-26,1003,24637.0,4.29,3,1.43,0.63,370032,17539,4209
Maouno,inOZ3ASh1wA,J'APPELLE AYUWOKI EN DIRECT !,2019-04-24,1066,8668.0,1.99,2,0.99,0.83,267244,14381,5147
Maouno,byYNY_j9SuM,LE PÈRE NOËL TUEUR ENTRE CHEZ MOI !,2018-12-29,1182,27148.0,18.44,11,1.68,2.45,92399,4067,1982
Thoomas,UaXO-UZdazI,🔴 LIVE CHILL AVANT LA FIN DE MEGA MALL sur FORTNITE (Partie Perso) !!,2019-09-20,917,5296.0,2.0,1,2.0,1.36,25225,2515,35
