nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
Mon Coach Vélo,P4VLeqDNzdM,Partie 2: Les CLÉS pour bâtir un ENTRAINEMENT efficace à VÉLO ( LIVE),2021-11-10,151,2143.0,0.0,0,0.0,0.0,2116,57,2
Mon Coach Vélo,Fc3OslrTSg8,Perdre du poids rapidement après 40 ans (sans le reprendre),2022-01-09,91,5549.0,0.0,0,0.0,0.0,4684,171,14
Mon Coach Vélo,21-3KTn2b5w,Comment gagner 1heure sans mettre un coup de pédale a l étape du tour ?,2019-07-19,996,292.0,0.0,0,0.0,0.0,4216,156,24
Couture Plaisir,mhUHm_YB1s8,Direct Couture Plaisir Comment Allez-vous?,2020-05-05,705,1561.0,0.0,0,0.0,0.0,1206,53,21
Couture Plaisir,ja_EZPac2o0,Je Vien Au Nouvelle,2020-04-10,730,2588.0,0.0,0,0.0,0.0,1059,37,12
Betclic,gLkT9y8QxTk,"#FreebetsMania - 1€ à 5 000€, à chaque parieur ses Freebets",2020-06-10,669,3568.0,0.0,0,0.0,0.0,956,9,2
Julien Gauger,yTf7CzACC0g,RETROMOBILE DE NUIT QUE POUR NOUS [LIVE] VLoG 88,2020-02-06,794,4693.0,0.0,0,0.0,0.0,31262,345,26
Charlotte Hoefman,aiYd8ksvuag,#5 Messages pour les temps actuels et à venir | Le grand passage,2020-12-20,476,9255.0,0.0,0,0.0,0.0,64795,2945,262
Charlotte Hoefman,1uOPqEzHa9s,#6 Messages pour les temps actuels et à venir | La métamorphose vibratoire du corps physique,2021-01-24,441,8505.0,0.0,0,0.0,0.0,51376,2464,237
Charlotte Hoefman,C1MLtAWcVOA,#4 Messages pour les temps actuels et à venir | Apocalypse & Nuit noire de l'âme,2020-11-15,511,9135.0,0.0,0,0.0,0.0,51127,2426,292
Charlotte Hoefman,OF7mi6JYjS0,#2 Messages pour les temps actuels et à venir | Les bouleversements énergétiques sur Terre,2020-09-13,574,7091.0,0.0,0,0.0,0.0,23927,1114,107
Charlotte Hoefman,wwXAZT5xgBE,"#12 Messages pour les temps actuels et à venir | Les fêtes de fin d'année, communion ou séparation ?",2021-12-05,126,8370.0,0.0,0,0.0,0.0,44666,2025,155
Charlotte Hoefman,wF8ZxCoTNpc,"#5 Les interviews du Nouveau Monde | Au delà de l'alcool, la liberté avec Sophie Dohal",2021-07-23,261,5566.0,0.0,0,0.0,0.0,21248,1017,53
Charlotte Hoefman,NiSUCsXRWHY,#7 Messages pour les temps actuels et à venir | Les portes de l'enfer et du paradis,2021-02-28,406,9086.0,0.0,0,0.0,0.0,41588,1930,211
Charlotte Hoefman,lfgomlHyUzg,#3 Cercle de pratiques collectives | Les pranayamas,2022-03-06,35,6354.0,0.0,0,0.0,0.0,14341,1042,69
Charlotte Hoefman,ynMq6YxyXU0,#11 Messages pour les temps actuels et à venir | Apprendre à mourir pour apprendre à vivre,2021-09-26,196,7270.0,0.0,0,0.0,0.0,67297,3127,236
Charlotte Hoefman,6iB_FBQF3AI,#10 Messages pour les temps actuels et à venir | Comment vivre ensemble sur cette planète ?,2021-07-18,266,8091.0,0.0,0,0.0,0.0,85902,3964,546
Charlotte Hoefman,rAYSBwglDQU,Comment sortir de notre prison intérieure ? | Interview de Charlotte Hoefman,2020-12-09,487,8008.0,0.0,0,0.0,0.0,27111,1062,110
Charlotte Hoefman,9V_K0KBAxoI,#13 Messages pour les temps actuels et à venir | Accueillir le vide en Soi,2022-02-16,53,6485.0,0.0,0,0.0,0.0,31567,1639,140
Charlotte Hoefman,Wxl-6cJRZHQ,"#8 Messages pour les temps actuels et à venir | ""La clé ultime""",2021-04-04,371,9541.0,0.0,0,0.0,0.0,56888,2839,306
Charlotte Hoefman,RwyfL2X6l1o,"#3 Les Interviews du Nouveau Monde | ""Quand j'avais l'autisme"" avec Christine Buscailhon",2021-04-15,360,5692.0,0.0,0,0.0,0.0,12473,614,53
Charlotte Hoefman,iVmKJRt3QfY,Lancement et présentation du cercle de pratiques collectives,2021-11-21,140,6425.0,0.0,0,0.0,0.0,30405,1959,169
Charlotte Hoefman,ypCYZGCmU2I,"#1 Cercle de pratiques collectives | La ""météo intérieure""",2021-12-12,119,4740.0,0.0,0,0.0,0.0,31443,1642,153
Charlotte Hoefman,w_dcXzBp8xs,#1 Messages pour les temps actuels et à venir | Le processus d'ascension planétaire et cosmique,2020-07-12,637,7288.0,0.0,0,0.0,0.0,32981,1485,153
Skearox,lx4karx58JA,On construit ma maison sur Minecraft !,2020-02-03,797,5820.0,0.0,0,0.0,0.0,691,50,2
Skearox,fA2VdZ0X11U,Le MEILLEUR MODE DE JEU est DISPONIBLE ! code créateur : skea,2019-12-30,832,6969.0,16.99,1,16.99,8.78,752,56,4
Skearox,eZ0_-y5vCtU,Stand FORTNITE Paris Games Week,2018-10-27,1261,304.0,0.0,0,0.0,0.0,3275,202,5
LE SAVOYARD,1j-Uozecc_8,CONO EN DIRECT LIVE !!!,2019-10-18,905,3629.0,0.0,0,0.0,0.0,5136,564,54
LE SAVOYARD,W6s8SVfdGL0,CONO EN DIRECT LIVE !!!,2018-12-03,1224,6029.0,0.0,0,0.0,0.0,7191,621,49
LE SAVOYARD,VYrRkZiQvnE,CONO EN DIRECT LIVE !!!,2018-10-19,1269,3582.0,0.0,0,0.0,0.0,5807,,45
nhbeautyzone,hLP4Tskkk3k,Que Deviendra Ma Chaine?,2018-10-20,1268,930.0,0.0,0,0.0,0.0,920,31,19
nhbeautyzone,8ZQyUqX0BHY,A Coeur Ouvert: Plus Esclave De La Peur,2018-06-16,1394,464.0,0.0,0,0.0,0.0,1501,75,24
Les Amoureux Voyageurs,55ZMOCpPQoo,Aid mubarak,2020-05-24,686,398.0,0.0,0,0.0,0.0,14888,1175,166
Les Amoureux Voyageurs,upY_2RP87Xg,TANZANIE les dessous de l'épisode,2019-03-15,1122,1224.0,28.48,5,5.7,83.76,7977,704,69
Les Amoureux Voyageurs,DS18SkWrb6k,LANCEMENT DU TOUR DU MONDE DES SAVEURS,2019-03-08,1129,5160.0,0.0,0,0.0,0.0,7480,540,79
Les Amoureux Voyageurs,cumIseG4sds,ON TESTE LE DURIAN EN LIVE DE MALAISIE !!! 😷😱😱😱,2018-07-11,1369,4184.0,6.48,2,3.24,5.58,14003,544,36
