nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
Tourdepriere semeur TV,nSHykqelenI,DECLARATION PROPHETIQUE I  POSSÈDE TA ROBE BLANCHE BY PASTEUR BIENVENU MANZIONI,2021-03-12,391,4815.0,204.49,18,11.36,152.89,2157,283.0,17
Tourdepriere semeur TV,FI3BgbqN-p0,DEVANCER L'AURORE I JE CHERCHE TA FACE SEIGNEUR  BY PASTEUR BIENVENU MANZIONI,2021-03-12,391,4854.0,76.0,16,4.75,56.37,2885,499.0,53
Tourdepriere semeur TV,CdHqi-gievE,"LA GUERRE DE MINUIT I PRIERE ,ENLEVER LES OBSTACLES À LA PORTE DE LA REUSSITE PROPH FRIIDHA MANZIONI",2021-03-11,392,5218.0,162.15,20,8.11,111.87,4329,636.0,13
Tourdepriere semeur TV,ypAqbS54mz4,"PPRS  I PRIÈRE, VEILLEZ ET PRIEZ EN TOUT TEMPS BY PROPHETESSE FRIDHA MANZIONI",2021-03-11,392,4553.0,352.84,9,39.2,278.99,2692,414.0,24
Tourdepriere semeur TV,YQkP_XXwO9k,DEVANCER L'AURORE I PRIERE INTERCESSION PROPHETIQUE POUR SA JOURNÉE BY PROPH FRIDHA MANZIONI,2021-03-10,393,4978.0,90.48,16,5.66,65.43,7366,850.0,51
Tourdepriere semeur TV,xOzbIjPdIwI,"LA GUERRE DE MINUIT I PRIERE ,ENLEVER LES OBSTACLES À LA PORTE DU MIRACLE BY PAST BIENVENU MANZIONI",2021-03-09,394,5713.0,104.16,10,10.42,65.64,3504,525.0,12
Tourdepriere semeur TV,th2U0Ri8F5c,PPRS  I PRIÈRE POUR FAIRE LA VOLONTÉ DE DIEU BY PROPHETESSE FRIDHA MANZIONI,2021-03-09,394,3807.0,183.11,11,16.65,173.15,2596,377.0,15
Tourdepriere semeur TV,2dqRAkHq4eU,DEVANCER L'AURORE I LA FLAMME DE DIEU EST MA PROTECTION  BY PASTEUR BIENVENU MANZIONI,2021-03-09,394,4976.0,260.49,11,23.68,188.46,2921,514.0,36
Tourdepriere semeur TV,uS7AFfAZ6-M,LA GUERRE DE MINUIT I VAINCRE LES POUVOIRS DE LA VALLÉE PROPH FRIDHA MANZIONI,2021-03-08,395,5501.0,249.6,19,13.14,163.34,4156,583.0,7
Tourdepriere semeur TV,A9f_L5fjMyk,DEVANCER L'AURORE I LE SAINT D'ISRAEL EST MON SECOURS BY PASTEUR BIENVENU MANZIONI,2021-03-08,395,4488.0,96.8,11,8.8,77.65,2704,540.0,22
Tourdepriere semeur TV,HiKInYniSWI,CULTE DES FAMILLES TPS I  MARS MOIS DU SECOURS DE L'ETERNEL BY PROPH FRIDHA MANZIONI,2021-03-07,396,10316.0,1065.52,47,22.67,371.84,2319,277.0,2
Tourdepriere semeur TV,4BBiOlCZ5zQ,DEVANCER L'AURORE I DONNE NOUS LA FORCE  BY PASTEUR BIENVENU MANZIONI,2021-03-05,398,3878.0,13.0,2,6.5,12.07,2987,494.0,37
Tourdepriere semeur TV,IkWTnTHI4mE,LA GUERRE DE MINUIT I PROTECTION CONTRE LA DESTRUCTION DE L'ENNEMI PROPH FRIDHA MANZIONI,2021-03-04,399,5700.0,99.24,8,12.4,62.68,4837,695.0,13
Tourdepriere semeur TV,Z5bUetDmHa0,PPRS  I  L'OEIL DES SENTINELLES BY PEOPHETESSE FRIDHA MANZIONI,2021-03-04,399,4568.0,119.54,5,23.91,94.21,2515,400.0,29
Tourdepriere semeur TV,7yZQMFtiR28,DEVANCER L'AURORE I ACCORDE MOI UN TEMPS FAVORABLE BY PASTEUR BIENVENU MANZIONI,2021-03-04,399,4961.0,148.98,7,21.28,108.11,2616,509.0,30
Tourdepriere semeur TV,ZJy2PfrLdmU,DEVANCER L'AURORE I L’OMBRE DE TA MAIN SEIGNEUR  BY PASTEUR BIENVENU MANZIONI,2021-03-03,400,4550.0,64.99,2,32.49,51.42,2832,548.0,28
Tourdepriere semeur TV,iRAhJo1b4fM,LA GUERRE DE MINUIT I ANÉANTIR LES MANGEURS DE CHAIR ET LES BUVEURS DE SANG PROPH FRIDHA MANZIONI,2021-03-02,401,6636.0,95.53,10,9.55,51.82,5498,696.0,14
Tourdepriere semeur TV,ca0hMW6Y73g,PPRS  I GARDER UNE PERSPECTIVE ETERNELLE BY LEILA ABA,2021-03-02,401,3971.0,25.0,4,6.25,22.66,1550,259.0,9
Tourdepriere semeur TV,T1TKOuaLLmk,DEVANCER L'AURORE I MON SECOURS EST DANS LE NOM DE L'ETERNEL BY PASTEUR BIENVENU MANZIONI,2021-03-02,401,4538.0,18.0,3,6.0,14.28,2871,516.0,19
Tourdepriere semeur TV,7KJC2nj1J9s,LA GUERRE DE MINUIT I ÊTRE DÉLIVRÉ DE L'HERITAGE MALÉFIQUE BY PROPHETESSE FRIDHA MANZIONI,2021-03-01,402,5072.0,139.72,11,12.7,99.17,4226,689.0,29
Tourdepriere semeur TV,DwXZydapdTU,DEVANCER L'AURORE 2 I POSSEDER LE MOIS DE MARS BY PROPHETESSE FRIDHA MANZIONI,2021-03-01,402,3887.0,214.43,18,11.91,198.6,5635,874.0,34
